collection;deck;question;correct_answer;wrong_answer_1;wrong_answer_2;wrong_answer_3;hint;explanation;level;difficulty;tags;source;cloze_text;accepted_answers;cloze_answers;cloze_word_bank
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est le thème central du chapitre 3 ?;La responsabilité des hébergeurs de contenu;La protection des bases de données personnelles;La fiscalité européenne des plateformes numériques;La responsabilité contractuelle des fournisseurs de logiciels;-;Le chapitre 3 porte sur la responsabilité des hébergeurs de contenu, dans le contexte du droit d’auteur et de la régulation numérique.;1;facile;introduction|responsabilite|hebergeurs;Chapitre 3 - p. 1;Le chapitre 3 porte sur {{la responsabilité des hébergeurs de contenu}}.;responsabilité des hébergeurs de contenu|la responsabilité des hébergeurs de contenu;la responsabilité des hébergeurs de contenu;la responsabilité des hébergeurs de contenu|La protection des bases de données personnelles|La fiscalité européenne des plateformes numériques|La responsabilité contractuelle des fournisseurs de logiciels
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Comment Internet a-t-il longtemps été perçu juridiquement ?;Comme un no man’s land juridique;Comme un espace déjà entièrement réglementé;Comme un service public contrôlé par les États;Comme un réseau réservé aux opérateurs techniques;-;Le document indique qu’Internet a longtemps été perçu comme un no man’s land juridique, avant de devenir un enjeu central de régulation numérique.;1;facile;internet|regulation;Chapitre 3 - p. 2;Internet a longtemps été perçu comme {{un no man’s land juridique}}.;no man’s land juridique|no man's land juridique;un no man’s land juridique;un no man’s land juridique|Comme un espace déjà entièrement réglementé|Comme un service public contrôlé par les États|Comme un réseau réservé aux opérateurs techniques
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Pourquoi Internet est-il devenu un enjeu central de régulation numérique ?;Parce qu’il est devenu un vecteur massif d’atteintes aux droits d’auteur;Parce qu’il empêche toute circulation de contenus protégés;Parce qu’il supprime automatiquement les contenus illicites;Parce qu’il réserve la publication aux titulaires de droits;Pense aux partages illicites, au streaming illégal et au plagiat.;Internet facilite des atteintes comme les partages illicites, le streaming illégal et le plagiat. Cela explique pourquoi il est devenu un enjeu central de régulation.;2;moyen;internet|droit-auteur|atteintes;Chapitre 3 - p. 2;Internet est devenu un enjeu de régulation car il est un vecteur massif {{d’atteintes aux droits d’auteur}}.;atteintes aux droits d’auteur|atteintes au droit d’auteur;d’atteintes aux droits d’auteur;d’atteintes aux droits d’auteur|Parce qu’il empêche toute circulation de contenus protégés|Parce qu’il supprime automatiquement les contenus illicites|Parce qu’il réserve la publication aux titulaires de droits
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est l’objectif des législations modernes face au droit d’auteur en ligne ?;Circonscrire les atteintes aux droits d’auteur sans bloquer l’innovation numérique;Bloquer l’innovation numérique pour empêcher toute atteinte possible;Rendre les utilisateurs responsables de chaque contenu automatiquement;Supprimer le rôle des intermédiaires techniques dans la régulation;L’objectif combine protection des droits et innovation.;Les législations modernes recherchent un équilibre : limiter les atteintes aux droits d’auteur sans bloquer l’innovation numérique.;2;moyen;droit-auteur|innovation|regulation;Chapitre 3 - p. 2;Les législations modernes visent à {{circonscrire les atteintes aux droits d’auteur sans bloquer l’innovation numérique}}.;circonscrire les atteintes aux droits d’auteur sans bloquer l’innovation numérique|limiter les atteintes sans bloquer l’innovation;circonscrire les atteintes aux droits d’auteur sans bloquer l’innovation numérique;circonscrire les atteintes aux droits d’auteur sans bloquer l’innovation numérique|Bloquer l’innovation numérique pour empêcher toute atteinte possible|Rendre les utilisateurs responsables de chaque contenu automatiquement|Supprimer le rôle des intermédiaires techniques dans la régulation
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle stratégie les législations modernes utilisent-elles pour réguler les atteintes en ligne ?;Cibler les intermédiaires techniques;Contrôler uniquement les utilisateurs finaux;Écarter les hébergeurs de toute régulation;Confier toute régulation aux titulaires de droits;Regarde les acteurs comme les hébergeurs et plateformes.;La stratégie consiste à cibler les intermédiaires techniques, notamment les hébergeurs, plateformes, moteurs de recherche et fournisseurs d’accès.;2;moyen;intermediaires|strategie;Chapitre 3 - p. 2;La stratégie consiste à {{cibler les intermédiaires techniques}}.;cibler les intermédiaires techniques|viser les intermédiaires techniques;cibler les intermédiaires techniques;cibler les intermédiaires techniques|Contrôler uniquement les utilisateurs finaux|Écarter les hébergeurs de toute régulation|Confier toute régulation aux titulaires de droits
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels acteurs sont cités comme intermédiaires techniques ?;Hébergeurs, plateformes, moteurs de recherche et fournisseurs d’accès;Auteurs, interprètes, éditeurs de presse et journalistes;Tribunaux, notaires, autorités fiscales et administrations locales;Consommateurs, annonceurs, vendeurs et influenceurs uniquement;Pense aux acteurs qui rendent techniquement possible l’accès aux contenus.;Le document cite les hébergeurs, plateformes, moteurs de recherche et fournisseurs d’accès comme intermédiaires techniques ciblés.;2;moyen;intermediaires|acteurs;Chapitre 3 - p. 2;Les intermédiaires techniques cités sont les {{hébergeurs, plateformes, moteurs de recherche et fournisseurs d’accès}}.;hébergeurs, plateformes, moteurs de recherche et fournisseurs d’accès;hébergeurs, plateformes, moteurs de recherche et fournisseurs d’accès;hébergeurs, plateformes, moteurs de recherche et fournisseurs d’accès|Auteurs, interprètes, éditeurs de presse et journalistes|Tribunaux, notaires, autorités fiscales et administrations locales|Consommateurs, annonceurs, vendeurs et influenceurs uniquement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle loi américaine est présentée comme le modèle fondateur ?;Le Digital Millennium Copyright Act de 1998;Le Digital Services Act de 2022;La directive e-commerce de 2000;La directive 2019/790/UE;-;Le document présente le Digital Millennium Copyright Act, adopté en 1998, comme le modèle fondateur.;1;facile;dmca|modele;Chapitre 3 - p. 3;Le modèle fondateur est le {{Digital Millennium Copyright Act de 1998}}.;Digital Millennium Copyright Act de 1998|DMCA de 1998|DMCA;Digital Millennium Copyright Act de 1998;Digital Millennium Copyright Act de 1998|Le Digital Services Act de 2022|La directive e-commerce de 2000|La directive 2019/790/UE
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que signifie l’abréviation DMCA ?;Digital Millennium Copyright Act;Digital Market Copyright Authority;Digital Media Control Agreement;Data Moderation Copyright Act;-;Le document explicite DMCA comme Digital Millennium Copyright Act.;1;facile;dmca|definition;Chapitre 3 - p. 3;DMCA signifie {{Digital Millennium Copyright Act}}.;Digital Millennium Copyright Act|DMCA;Digital Millennium Copyright Act;Digital Millennium Copyright Act|Digital Market Copyright Authority|Digital Media Control Agreement|Data Moderation Copyright Act
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel système la DMCA instaure-t-elle ?;Un système de safe harbor;Un système de responsabilité automatique;Un système d’interdiction générale d’hébergement;Un système de filtrage judiciaire préalable;-;La DMCA instaure un système de safe harbor, permettant une exemption de responsabilité à certaines conditions.;1;facile;dmca|safe-harbor;Chapitre 3 - p. 3;La DMCA instaure un système de {{safe harbor}}.;safe harbor|exonération conditionnelle;safe harbor;safe harbor|Un système de responsabilité automatique|Un système d’interdiction générale d’hébergement|Un système de filtrage judiciaire préalable
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Dans la DMCA, à quoi sert le safe harbor ?;À exempter les prestataires de responsabilité à certaines conditions;À rendre les prestataires toujours responsables des contenus publiés;À interdire la coopération avec les titulaires de droits;À supprimer toute notification des contenus illicites;Revois la logique d’exemption conditionnelle.;Le safe harbor permet aux prestataires d’être exemptés de responsabilité s’ils respectent certaines conditions, comme l’absence de connaissance et le retrait prompt.;2;moyen;dmca|safe-harbor|exoneration;Chapitre 3 - p. 3;Le safe harbor sert à {{exempter les prestataires de responsabilité à certaines conditions}}.;exempter les prestataires de responsabilité à certaines conditions|exemption de responsabilité conditionnelle;exempter les prestataires de responsabilité à certaines conditions;exempter les prestataires de responsabilité à certaines conditions|À rendre les prestataires toujours responsables des contenus publiés|À interdire la coopération avec les titulaires de droits|À supprimer toute notification des contenus illicites
